parameterId	parameterScale	lowerBound	upperBound	estimate	nominalValue
Asus	lin	-15000	15000	1	1
Atrans	lin	4000	15000	1	1
t1	lin	0	1000	1	1
t11	lin	0	1000	1	1
t2	lin	0	1000	1	3
Tshift	lin	-100	100	0	-2
Trange	lin	0	100	0	5
p0	lin	100	300	1	250
