parameterId	parameterScale	lowerBound	upperBound	estimate	nominalValue
Asus	lin	-1e+1	1e+1	1	1
Atrans	lin	-1e+1	1e+1	1	1
t1	lin	0	1e+1	1	1
t11	lin	0	1e+1	1	1
t2	lin	0	1e+1	1	3
Tshift	lin	-100	100	0	-2
Trange	lin	0	200	0	177
p0	lin	0	2	0	1
sd1_y_obs	lin	0.01	100	1	1
